Point,Temperature (K),Pressure (Pa),Mass flow (kg/s),Enthalpy (J/mol),Entropy (J/K)
1,277.0,100000,5.0,-97330.56093477,-203.14999747708868
2,302.0,100000,5.0,560.6419641304092,135.2133467838046
3,317.5,100000,5.0,61136.10349631755,330.8163204954857
4,333.0,100000,5.0,121772.39996857934,517.2802541373883
5,338.0,100000,5.0,141356.4535727612,575.6540207623231
6,343.0,31000,5.0,160898.83620128638,633.2587328901316
7,343.0,31000,3.4,98998.75818603314,482.6508050350647
8,338.0,25000,3.4,-35572.67843746964,146.2888570265397
9,338.0,25000,2.12,-35572.67843746964,146.2888570265397
10,333.0,20000,2.12,-53332.80452343446,93.36744199486805
11,333.0,20000,1.32,-237505.79617772487,-352.7179398999766
12,290.39,20000,1.32,-371880.4507301163,-784.4764970275367
13,277.0,20000,1.32,-414140.10159141076,-933.4671083299099
14,343.0,31000,1.6,292436.5019836997,953.3005795821487
15,338.0,25000,1.28,271487.85437864583,891.7943238652505
16,333.0,20000,0.8,250552.63170614472,829.4083221213618
17,343.0,31000,1.29,292436.5019836997,953.3005795821487
18,338.0,25000,0.8,271487.85437864583,891.7943238652505
19,343.0,31000,0.31,292436.5019836997,953.3005795821487
20,338.0,25000,0.9,271487.85437864583,891.7943238652505
21,277.0,100000,2.52,-58804.19586723066,-114.31292844126865
22,277.0,100000,1.52,-108202.50270074965,-228.2193607436356
23,277.0,100000,1.0,16281.230519718201,58.82484865832909
24,373.0,100000,1.66,,
hot_exit2,302.41,20000,0.8,122642.1596787843,426.49113053063525
hot_exit3,322.44,25000,0.9,206397.68253099348,694.6484331540266
hot_exit4,337.86,31000,0.31,270918.92386998754,890.092650494601
